--- PLANAR TRACKING WITH HARMONIZATION RUN LOG STARTED ---
[TRACKING OK] Frame 0001 Coords -> TL: [1000.7000122070312, 335.70001220703125], TR: [1139.9000244140625, 335.79998779296875], BR: [1139.800048828125, 397.79998779296875], BL: [1000.5999755859375, 397.70001220703125]
[TRACKING OK] Frame 0002 Coords -> TL: [1001.2000122070312, 335.6000061035156], TR: [1140.4000244140625, 335.6000061035156], BR: [1140.4000244140625, 397.70001220703125], BL: [1001.0999755859375, 397.6000061035156]
[TRACKING OK] Frame 0003 Coords -> TL: [1001.9000244140625, 335.6000061035156], TR: [1141.5, 335.5], BR: [1141.300048828125, 397.70001220703125], BL: [1001.7999877929688, 397.6000061035156]
[TRACKING OK] Frame 0004 Coords -> TL: [1003.7000122070312, 334.0], TR: [1144.699951171875, 334.20001220703125], BR: [1143.9000244140625, 397.3999938964844], BL: [1003.5, 397.29998779296875]
[TRACKING OK] Frame 0005 Coords -> TL: [1004.0, 336.20001220703125], TR: [1143.4000244140625, 336.3999938964844], BR: [1143.300048828125, 398.29998779296875], BL: [1003.9000244140625, 398.20001220703125]
[TRACKING OK] Frame 0006 Coords -> TL: [1004.0999755859375, 336.0], TR: [1143.300048828125, 336.0], BR: [1143.4000244140625, 398.0], BL: [1004.0999755859375, 398.0]
[TRACKING OK] Frame 0007 Coords -> TL: [1004.7000122070312, 335.70001220703125], TR: [1143.199951171875, 335.6000061035156], BR: [1143.699951171875, 397.6000061035156], BL: [1005.0, 397.70001220703125]
[TRACKING OK] Frame 0008 Coords -> TL: [1006.7000122070312, 335.20001220703125], TR: [1145.9000244140625, 335.70001220703125], BR: [1146.0999755859375, 397.79998779296875], BL: [1006.7000122070312, 397.3999938964844]
[TRACKING OK] Frame 0009 Coords -> TL: [1007.2999877929688, 335.70001220703125], TR: [1146.4000244140625, 336.20001220703125], BR: [1146.699951171875, 398.29998779296875], BL: [1007.5999755859375, 397.8999938964844]
[TRACKING OK] Frame 0010 Coords -> TL: [1009.0999755859375, 336.0], TR: [1148.199951171875, 336.20001220703125], BR: [1148.699951171875, 398.3999938964844], BL: [1009.5, 398.20001220703125]
[TRACKING OK] Frame 0011 Coords -> TL: [1010.4000244140625, 336.0], TR: [1149.4000244140625, 336.79998779296875], BR: [1149.800048828125, 398.8999938964844], BL: [1010.7000122070312, 398.29998779296875]
