--- PLANAR TRACKING WITH FEATHER BLENDING RUN LOG STARTED ---
[TRACKING OK] Frame 0001 Coords -> TL: [946.4000244140625, 296.70001220703125], TR: [1078.800048828125, 296.70001220703125], BR: [1078.800048828125, 366.79998779296875], BL: [946.4000244140625, 366.70001220703125]
[TRACKING OK] Frame 0002 Coords -> TL: [947.0, 296.6000061035156], TR: [1079.4000244140625, 296.70001220703125], BR: [1079.4000244140625, 366.79998779296875], BL: [947.0, 366.70001220703125]
[TRACKING OK] Frame 0003 Coords -> TL: [947.5, 296.6000061035156], TR: [1080.0999755859375, 296.79998779296875], BR: [1080.0, 366.8999938964844], BL: [947.5, 366.70001220703125]
[TRACKING OK] Frame 0004 Coords -> TL: [948.2999877929688, 295.79998779296875], TR: [1081.4000244140625, 296.5], BR: [1081.4000244140625, 367.0], BL: [948.5, 366.3999938964844]
[TRACKING OK] Frame 0005 Coords -> TL: [949.0999755859375, 296.1000061035156], TR: [1082.0, 296.6000061035156], BR: [1082.0, 366.8999938964844], BL: [949.0999755859375, 366.5]
[TRACKING OK] Frame 0006 Coords -> TL: [949.9000244140625, 297.0], TR: [1082.0999755859375, 297.0], BR: [1082.0999755859375, 367.1000061035156], BL: [950.0, 367.1000061035156]
[TRACKING OK] Frame 0007 Coords -> TL: [951.4000244140625, 297.20001220703125], TR: [1083.9000244140625, 297.1000061035156], BR: [1084.0, 367.29998779296875], BL: [951.5, 367.29998779296875]
[TRACKING OK] Frame 0008 Coords -> TL: [951.7000122070312, 295.79998779296875], TR: [1084.5999755859375, 296.70001220703125], BR: [1084.9000244140625, 366.8999938964844], BL: [952.0, 366.29998779296875]
[TRACKING OK] Frame 0009 Coords -> TL: [952.0999755859375, 296.0], TR: [1085.199951171875, 296.8999938964844], BR: [1085.5999755859375, 367.3999938964844], BL: [952.7000122070312, 366.79998779296875]
[TRACKING OK] Frame 0010 Coords -> TL: [954.7999877929688, 296.79998779296875], TR: [1087.4000244140625, 297.0], BR: [1087.699951171875, 367.29998779296875], BL: [955.0999755859375, 367.1000061035156]
[TRACKING OK] Frame 0011 Coords -> TL: [955.7999877929688, 296.6000061035156], TR: [1088.300048828125, 297.1000061035156], BR: [1088.699951171875, 367.5], BL: [956.2000122070312, 367.0]
