--- RETINEX BLENDING TRACKING RUN LOG STARTED ---
[TRACKING OK] Frame 0001 Coords -> TL: [994.5999755859375, 344.70001220703125], TR: [1108.9000244140625, 344.79998779296875], BR: [1108.800048828125, 397.79998779296875], BL: [994.5, 397.70001220703125]
[TRACKING OK] Frame 0002 Coords -> TL: [995.2000122070312, 344.70001220703125], TR: [1109.4000244140625, 344.70001220703125], BR: [1109.4000244140625, 397.70001220703125], BL: [995.0999755859375, 397.70001220703125]
[TRACKING OK] Frame 0003 Coords -> TL: [995.7999877929688, 344.70001220703125], TR: [1110.0999755859375, 344.70001220703125], BR: [1110.0, 397.70001220703125], BL: [995.7000122070312, 397.70001220703125]
[TRACKING OK] Frame 0004 Coords -> TL: [997.2999877929688, 343.8999938964844], TR: [1111.699951171875, 344.6000061035156], BR: [1111.5999755859375, 397.8999938964844], BL: [997.2999877929688, 397.3999938964844]
[TRACKING OK] Frame 0005 Coords -> TL: [997.5999755859375, 345.1000061035156], TR: [1111.9000244140625, 345.0], BR: [1111.9000244140625, 398.0], BL: [997.5, 398.1000061035156]
[TRACKING OK] Frame 0006 Coords -> TL: [998.4000244140625, 344.79998779296875], TR: [1112.5999755859375, 344.79998779296875], BR: [1112.5, 397.79998779296875], BL: [998.2999877929688, 397.79998779296875]
[TRACKING OK] Frame 0007 Coords -> TL: [999.7999877929688, 344.3999938964844], TR: [1114.0, 344.5], BR: [1114.0999755859375, 397.70001220703125], BL: [999.7999877929688, 397.6000061035156]
[TRACKING OK] Frame 0008 Coords -> TL: [1000.5999755859375, 344.29998779296875], TR: [1114.800048828125, 344.6000061035156], BR: [1114.9000244140625, 397.70001220703125], BL: [1000.7000122070312, 397.5]
[TRACKING OK] Frame 0009 Coords -> TL: [1001.4000244140625, 344.70001220703125], TR: [1115.5999755859375, 345.0], BR: [1115.800048828125, 398.1000061035156], BL: [1001.5999755859375, 398.0]
[TRACKING OK] Frame 0010 Coords -> TL: [1003.2999877929688, 345.29998779296875], TR: [1117.800048828125, 345.3999938964844], BR: [1118.0, 398.6000061035156], BL: [1003.5999755859375, 398.6000061035156]
[TRACKING OK] Frame 0011 Coords -> TL: [1004.2999877929688, 345.20001220703125], TR: [1118.5999755859375, 345.5], BR: [1118.9000244140625, 398.70001220703125], BL: [1004.5999755859375, 398.5]
[TRACKING OK] Frame 0012 Coords -> TL: [1005.2000122070312, 345.3999938964844], TR: [1119.4000244140625, 345.6000061035156], BR: [1119.699951171875, 398.79998779296875], BL: [1005.4000244140625, 398.70001220703125]
[TRACKING OK] Frame 0013 Coords -> TL: [1006.5, 345.5], TR: [1120.5999755859375, 345.8999938964844], BR: [1120.9000244140625, 399.20001220703125], BL: [1006.7999877929688, 399.0]
[TRACKING OK] Frame 0014 Coords -> TL: [1008.2999877929688, 347.1000061035156], TR: [1122.4000244140625, 347.1000061035156], BR: [1122.9000244140625, 400.5], BL: [1008.7999877929688, 400.6000061035156]
[TRACKING OK] Frame 0015 Coords -> TL: [1008.9000244140625, 346.5], TR: [1123.199951171875, 346.8999938964844], BR: [1123.5, 400.29998779296875], BL: [1009.2999877929688, 400.20001220703125]
[TRACKING OK] Frame 0016 Coords -> TL: [1009.5999755859375, 346.79998779296875], TR: [1123.699951171875, 347.1000061035156], BR: [1124.0999755859375, 400.5], BL: [1009.9000244140625, 400.3999938964844]
[TRACKING OK] Frame 0017 Coords -> TL: [1010.5999755859375, 346.79998779296875], TR: [1124.9000244140625, 347.20001220703125], BR: [1125.199951171875, 400.6000061035156], BL: [1010.7999877929688, 400.3999938964844]
[TRACKING OK] Frame 0018 Coords -> TL: [1011.4000244140625, 346.6000061035156], TR: [1125.5999755859375, 347.20001220703125], BR: [1126.0, 400.6000061035156], BL: [1011.5999755859375, 400.29998779296875]
[TRACKING OK] Frame 0019 Coords -> TL: [1012.5, 347.29998779296875], TR: [1126.4000244140625, 347.70001220703125], BR: [1126.9000244140625, 401.1000061035156], BL: [1012.9000244140625, 401.20001220703125]
[TRACKING OK] Frame 0020 Coords -> TL: [1014.0, 347.29998779296875], TR: [1128.199951171875, 347.70001220703125], BR: [1128.5999755859375, 401.20001220703125], BL: [1014.2999877929688, 401.29998779296875]
[TRACKING OK] Frame 0021 Coords -> TL: [1014.5, 347.79998779296875], TR: [1128.800048828125, 348.20001220703125], BR: [1129.199951171875, 401.70001220703125], BL: [1014.9000244140625, 401.6000061035156]
