--- RETINEX BLENDING TRACKING RUN LOG STARTED ---
[TRACKING OK] Frame 0001 Coords -> TL: [979.9000244140625, 326.0], TR: [1093.300048828125, 325.6000061035156], BR: [1093.300048828125, 385.1000061035156], BL: [980.0999755859375, 385.29998779296875]
[TRACKING OK] Frame 0002 Coords -> TL: [980.0, 325.5], TR: [1093.5, 325.1000061035156], BR: [1093.5999755859375, 384.79998779296875], BL: [980.2000122070312, 385.1000061035156]
[TRACKING OK] Frame 0003 Coords -> TL: [980.0999755859375, 325.20001220703125], TR: [1093.9000244140625, 324.6000061035156], BR: [1094.0, 384.5], BL: [980.4000244140625, 384.8999938964844]
[TRACKING OK] Frame 0004 Coords -> TL: [981.0, 324.29998779296875], TR: [1095.4000244140625, 323.5], BR: [1095.4000244140625, 384.20001220703125], BL: [981.4000244140625, 384.70001220703125]
[TRACKING OK] Frame 0005 Coords -> TL: [981.5, 324.1000061035156], TR: [1096.300048828125, 323.1000061035156], BR: [1096.199951171875, 384.0], BL: [982.0, 384.70001220703125]
[TRACKING OK] Frame 0006 Coords -> TL: [981.9000244140625, 324.29998779296875], TR: [1096.0999755859375, 323.70001220703125], BR: [1096.300048828125, 384.1000061035156], BL: [982.5, 384.6000061035156]
[TRACKING OK] Frame 0007 Coords -> TL: [983.2999877929688, 324.29998779296875], TR: [1097.199951171875, 323.6000061035156], BR: [1097.699951171875, 384.1000061035156], BL: [984.0, 384.6000061035156]
[TRACKING OK] Frame 0008 Coords -> TL: [984.7000122070312, 325.0], TR: [1098.300048828125, 325.1000061035156], BR: [1098.800048828125, 385.0], BL: [985.2999877929688, 384.79998779296875]
[TRACKING OK] Frame 0009 Coords -> TL: [985.7999877929688, 324.6000061035156], TR: [1099.5999755859375, 324.3999938964844], BR: [1100.0, 384.70001220703125], BL: [986.4000244140625, 384.8999938964844]
[TRACKING OK] Frame 0010 Coords -> TL: [988.5999755859375, 325.6000061035156], TR: [1102.0, 326.5], BR: [1102.5, 385.8999938964844], BL: [989.0999755859375, 385.29998779296875]
[TRACKING OK] Frame 0011 Coords -> TL: [989.5, 325.29998779296875], TR: [1103.199951171875, 325.8999938964844], BR: [1103.5999755859375, 385.79998779296875], BL: [990.0999755859375, 385.3999938964844]
