--- RETINEX + HARMONIZATION BLENDING TRACKING RUN LOG STARTED ---
[TRACKING OK] Frame 0001 Coords -> TL: [992.5999755859375, 335.70001220703125], TR: [1117.800048828125, 335.79998779296875], BR: [1117.699951171875, 393.79998779296875], BL: [992.5999755859375, 393.6000061035156]
[TRACKING OK] Frame 0002 Coords -> TL: [993.2999877929688, 335.70001220703125], TR: [1118.4000244140625, 335.79998779296875], BR: [1118.4000244140625, 393.79998779296875], BL: [993.2000122070312, 393.6000061035156]
[TRACKING OK] Frame 0003 Coords -> TL: [993.9000244140625, 335.70001220703125], TR: [1119.0999755859375, 335.70001220703125], BR: [1119.0999755859375, 393.70001220703125], BL: [993.7000122070312, 393.6000061035156]
[TRACKING OK] Frame 0004 Coords -> TL: [995.2999877929688, 334.79998779296875], TR: [1120.800048828125, 335.5], BR: [1120.699951171875, 393.8999938964844], BL: [995.2999877929688, 393.29998779296875]
[TRACKING OK] Frame 0005 Coords -> TL: [995.5999755859375, 336.1000061035156], TR: [1120.9000244140625, 336.0], BR: [1120.9000244140625, 394.1000061035156], BL: [995.5, 394.20001220703125]
[TRACKING OK] Frame 0006 Coords -> TL: [996.2999877929688, 335.20001220703125], TR: [1121.5999755859375, 335.29998779296875], BR: [1121.5999755859375, 393.5], BL: [996.2000122070312, 393.5]
[TRACKING OK] Frame 0007 Coords -> TL: [997.4000244140625, 336.0], TR: [1122.5999755859375, 336.0], BR: [1122.800048828125, 394.1000061035156], BL: [997.5999755859375, 394.1000061035156]
[TRACKING OK] Frame 0008 Coords -> TL: [998.4000244140625, 335.8999938964844], TR: [1123.800048828125, 336.0], BR: [1124.0, 394.0], BL: [998.4000244140625, 393.8999938964844]
[TRACKING OK] Frame 0009 Coords -> TL: [999.4000244140625, 335.79998779296875], TR: [1124.5999755859375, 336.1000061035156], BR: [1124.800048828125, 394.29998779296875], BL: [999.5999755859375, 394.1000061035156]
[TRACKING OK] Frame 0010 Coords -> TL: [1001.2999877929688, 336.0], TR: [1126.5999755859375, 336.29998779296875], BR: [1126.9000244140625, 394.3999938964844], BL: [1001.5999755859375, 394.20001220703125]
[TRACKING OK] Frame 0011 Coords -> TL: [1002.4000244140625, 336.1000061035156], TR: [1127.5999755859375, 336.6000061035156], BR: [1127.9000244140625, 394.79998779296875], BL: [1002.7000122070312, 394.5]
